,total,chk_3,chk_4,ratio3
1e25cf36,,,,
191d09cb,,,,
5096bfee,,,,
4fd754a4,,,,
6b9ea1fd,,,,
91dbd317,,,,
6d5ff15e,,,,
be158844,,,,
ee95b5b2,,,,
8a689555,,,,
e0a65166,,,,
85d2a9c3,,,,
0871c17a,,,,
c628700e,,,,
ec4ccdc2,,,,
253e36c6,,,,
da58d4af,,,,
618dfd84,,,,
7059e7b4,,,,
1ae6a392,,,,
c751bf2b,,,,
4874d1a8,,,,
ee0e11e5,,,,
262ef9c5,,,,
fa1f1686,,,,
f2ccf1aa,,,,
b6acbdbd,,,,
ee8edd52,,,,
a351454b,,,,
e8e1fc5c,,,,
5a559291,,,,
f6e2b528,,,,
fe7fd4e9,,,,
